"Timestamp","I voluntarily agree to participate in this stress-monitoring survey. My responses will remain confidential and used for academic research only. ","  Age  ","Gender","Current status","  Field of study/work  ","How many hours did you sleep last night? 
Enter a number, e.g, 8","How many hours did you spend working/studying today? 
Enter a number, e.g. 6","How many hours did you spend doing hobbies today?
Enter a number, e.g. 2","  How long was your commute today?  ","Number of tasks you needed to complete today:
Enter a number, e.g., 3","How would you rate your tasks' difficulty today?  ","Amount of social interaction today:
( talking, calling, chatting, meetings) 
Enter a number of hours, e.g 4","Quality of social interactions today:  ","  Did you face any stressful situation today?  ","If yes, what type of stressor?
(Select all that apply)","How satisfied are you with your home environment today? 
(Consider comfort, support, noise, privacy, and general atmosphere)","On a scale from 1 to 10, how stressed do you feel today? 
(1 = No stress, 10 = Extremely stressed)","How often did you overthink situations or tasks today?  ","How stressed did you feel when working under pressure or facing deadlines today?  "
"2025/10/30 9:33:37 PM GMT+3","I agree","18-24","Female","Both","Biomedical informatics","4","6","0","> 2 hours","4","Hard","5","Low (negative, draining)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Dissatisfied","10","Almost always","Highly stressed"
"2025/10/30 9:43:54 PM GMT+3","I agree","18-24","Female","Student","Engineering ","8","6","0","< 30 min","5","Hard","Calling 1 hour , chatting 1 h","Low (negative, draining)","Yes","Academic/work failure or poor performance","Satisfied","8","Often","Highly stressed"
"2025/10/30 9:46:09 PM GMT+3","I agree","18-24","Female","Student","Student ","9","2","0","30-60 min","4","Moderate","4","Medium (neutral)","No","","Satisfied","2","Rarely","Highly stressed"
"2025/10/30 9:46:48 PM GMT+3","I agree","18-24","Female","Student","Computer science","Almost 8","5","I didn't do my hobbies today","30-60 min","4","Moderate;Hard","Most of the day I did this","High (positive, supportive)","Yes","Academic/work failure or poor performance;Financial stress","Satisfied","4","Almost always","Highly stressed"
"2025/10/30 9:48:20 PM GMT+3","I agree","18-24","Female","Student","Computer science ","4","3","0","1 hour","1","Moderate","6","Medium (neutral)","Yes","Academic/work failure or poor performance;Personal disappointment","Satisfied","7","Almost always","Highly stressed"
"2025/10/30 9:51:03 PM GMT+3","I agree","18-24","Female","Student","Engineering ","8","4","2","1 hour","5","Moderate","2","Medium (neutral)","Yes","Personal disappointment","Satisfied","6","Rarely","Slightly stressed"
"2025/10/30 9:51:20 PM GMT+3","I agree","18-24","Female","Student","School of engineering ","6","8","1","30-60 min","3","Moderate;Hard","2","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","4","Almost always","Highly stressed"
"2025/10/30 9:52:25 PM GMT+3","I agree","18-24","Female","Student","Engineering ","7","2","0 ","30-60 min","4","Moderate","3","High (positive, supportive)","No","","Satisfied","5","Rarely","Slightly stressed"
"2025/10/30 9:53:15 PM GMT+3","I agree","18-24","Female","Student","Computer science","6","6","1.5","30-60 min","6","Easy;Moderate;Hard","3","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Transportation problem / car issue;Personal disappointment","Satisfied","8","Almost always","Highly stressed"
"2025/10/30 9:53:18 PM GMT+3","I agree","18-24","Female","Student","medicine ","7","10","3","30-60 min","2","Easy","4","Medium (neutral)","Yes","Health-related stress","Satisfied","4","Rarely","Slightly stressed"
"2025/10/30 9:53:42 PM GMT+3","I agree","18-24","Female","Both","Biomedical informatics student","6","6","None","30-60 min","4","Moderate","12","Medium (neutral)","No","","Satisfied","4","Often","Slightly stressed"
"2025/10/30 9:58:19 PM GMT+3","I agree","18-24","Female","Student","Computer engineering ","4","5","1","> 2 hours","3","Moderate","4","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","5","Often","Highly stressed"
"2025/10/30 10:05:32 PM GMT+3","I agree","<18","Female","Student","","8","1","5","< 30 min","4","Moderate","4","Medium (neutral)","Yes","Arguing/conflict with someone","Satisfied","6","Often","Slightly stressed"
"2025/10/30 10:05:47 PM GMT+3","I agree","18-24","Female","Both","Mass com /social media specialist","8 hours","3 hours","None","1 hour","3","Moderate","All day","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","8","Almost always","Highly stressed"
"2025/10/30 10:12:04 PM GMT+3","I agree","18-24","Female","Student","Computer science ","6","8","2","","4","Moderate","2","Medium (neutral)","No","","Satisfied","3","Often","Slightly stressed"
"2025/10/30 10:12:07 PM GMT+3","I agree","18-24","Female","Employee","Finance ","7","4","1","1 hour","1","Moderate","1","Medium (neutral)","Yes","Academic/work failure or poor performance","Dissatisfied","4","Almost always","Slightly stressed"
"2025/10/30 10:12:41 PM GMT+3","I agree","25-35","Female","Neither","Media production ","12 h ","4 h ","1 h","> 2 hours","20","Hard","24 h","Low (negative, draining)","Yes","Personal disappointment;Financial stress;Health-related stress","Dissatisfied","10","Almost always","Highly stressed"
"2025/10/30 10:13:47 PM GMT+3","I agree","18-24","Female","Student","Computer science ","10","3","2","< 30 min","2","Easy","2","High (positive, supportive)","No","","Satisfied","1","Rarely","Not stressed"
"2025/10/30 10:17:17 PM GMT+3","I agree","18-24","Female","Student","Ehab morsy school","7","2","1","> 2 hours","2","Moderate","4","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","2","Rarely","Not stressed"
"2025/10/30 10:18:07 PM GMT+3","I agree","36+","Male","Employee","Petroleum engineering ","6","8","1","30-60 min","4","Moderate","1","High (positive, supportive)","Yes","Arguing/conflict with someone;Financial stress","Satisfied","4","Rarely","Slightly stressed"
"2025/10/30 10:19:45 PM GMT+3","I agree","18-24","Female","Student","bmd ","12 ","2 ","1","30-60 min","4","Moderate","6","Medium (neutral)","Yes","Arguing/conflict with someone;Transportation problem / car issue","Satisfied","8","Almost always","Slightly stressed"
"2025/10/30 10:22:49 PM GMT+3","I agree","36+","Female","Employee","Professor ","8","8","1","1 hour","4","Moderate","2","Medium (neutral)","Yes","Health-related stress","Satisfied","7","Almost always","Slightly stressed"
"2025/10/30 10:28:37 PM GMT+3","I agree","36+","Female","Employee","Teacher","6","8","1","> 2 hours","6","Hard","8","Low (negative, draining)","Yes","Academic/work failure or poor performance;Personal disappointment","Satisfied","9","Almost always","Highly stressed"
"2025/10/30 10:35:25 PM GMT+3","I agree","18-24","Female","Student","Business technology ","9","none","3","30-60 min","4","Moderate","3","Low (negative, draining)","Yes","Arguing/conflict with someone;Personal disappointment;Financial stress","Dissatisfied","8","Almost always","Highly stressed"
"2025/10/30 11:00:34 PM GMT+3","I agree","18-24","Female","Neither","Ai","8","2","0","< 30 min","3","Easy","1","Medium (neutral)","No","","Satisfied","3","Often","Slightly stressed"
"2025/10/30 11:08:31 PM GMT+3","I agree","18-24","Female","Neither","Computer science ","9","0","3","< 30 min","2","Moderate","9","Medium (neutral)","Yes","Arguing/conflict with someone;Personal disappointment","Satisfied","7","Often","Not stressed"
"2025/10/30 11:10:31 PM GMT+3","I agree","25-35","Female","Neither","Science zoology ","5","12","2","30-60 min","5","Moderate","4","Medium (neutral)","Yes","Arguing/conflict with someone;Personal disappointment;Health-related stress","Satisfied","4","Often","Slightly stressed"
"2025/10/30 11:12:49 PM GMT+3","I agree","18-24","Male","Employee","Ai Engineer","7","4","0","< 30 min","5","Hard","7","High (positive, supportive)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Satisfied","9","Almost always","Highly stressed"
"2025/10/30 11:13:48 PM GMT+3","I agree","18-24","Female","Both","Engineering ","8.5","7","3","< 30 min","5","Moderate","1","High (positive, supportive)","Yes","Academic/work failure or poor performance;Personal disappointment","Dissatisfied","6","Often","Highly stressed"
"2025/10/30 11:16:22 PM GMT+3","I agree","18-24","Female","Employee","Ai/ consultant ","7","9","3","< 30 min","4","Easy;Moderate","4","High (positive, supportive)","No","","Satisfied","5","Often","Slightly stressed"
"2025/10/30 11:21:35 PM GMT+3","I agree","18-24","Female","Student","Technology especially artificial intelligence ","7 ","8 ","Zero ","> 2 hours","4 ","Moderate","Around 6","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Transportation problem / car issue;Personal disappointment;Financial stress;Health-related stress","Dissatisfied","9","Almost always","Highly stressed"
"2025/10/30 11:36:17 PM GMT+3","I agree","18-24","Female","Student","Computer science ","3 ","4","0","< 30 min","4","Moderate","5","Low (negative, draining)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Personal disappointment;Health-related stress","Satisfied","9","Rarely","Highly stressed"
"2025/10/30 11:48:17 PM GMT+3","I agree","<18","Female","Student","Faculty of arts german department specialized translation ","6","7","2","1 hour","4","Moderate","8","Medium (neutral)","Yes","Arguing/conflict with someone","Satisfied","5","Often","Slightly stressed"
"2025/10/30 11:03:13 PM GMT+2","I agree","18-24","Male","Both","Electronics and communication engineering/teacher assistant ","","7","1","> 2 hours","","Hard","7","High (positive, supportive)","Yes","Transportation problem / car issue;Personal disappointment;Financial stress;Health-related stress","Satisfied","5","Often","Slightly stressed"
"2025/10/30 11:20:00 PM GMT+2","I agree","18-24","Male","Both","Visual arts ","6 ","12 ","3 ","1 hour","Min 2 ","Moderate","4","High (positive, supportive)","Yes","Arguing/conflict with someone;Personal disappointment","Satisfied","10","Almost always","Highly stressed"
"2025/10/30 11:40:18 PM GMT+2","I agree","18-24","Female","Both","Computer science ","9","0","2","1 hour","2","Moderate","6","High (positive, supportive)","No","","Satisfied","4","Rarely","Slightly stressed"
"2025/10/30 11:48:39 PM GMT+2","I agree","18-24","Female","Student","Linguistic ","4/5","5","1","","5","Hard","Chatting ","Medium (neutral)","Yes","Academic/work failure or poor performance;Transportation problem / car issue;Personal disappointment;Financial stress;Health-related stress","Satisfied","4","Rarely","Not stressed"
"2025/10/31 12:09:28 AM GMT+2","I agree","18-24","Female","Student","Electronic and communication engineering ","3","6","3","1 hour","5","Moderate","2","Low (negative, draining)","No","","Satisfied","1","Almost always","Highly stressed"
"2025/10/31 12:17:56 AM GMT+2","I agree","18-24","Female","Student","Medicine","8","12","2 ","30-60 min","5","Moderate","1","High (positive, supportive)","Yes","Academic/work failure or poor performance;Personal disappointment","Dissatisfied","8","Often","Highly stressed"
"2025/10/31 12:18:01 AM GMT+2","I agree","18-24","Female","Employee","Translating ","5","1","1","1 hour","2","Easy","6","High (positive, supportive)","No","","Satisfied","5","Often","Slightly stressed"
"2025/10/31 12:37:51 AM GMT+2","I agree","18-24","Female","Student","Artificial intelligence ","5-6","2","7-8 ","30-60 min","4 i guess","Moderate","9-10 hours","High (positive, supportive)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Satisfied","3","Rarely","Highly stressed"
"2025/10/31 12:38:43 AM GMT+2","I agree","18-24","Female","Student","Business and Foreign trade & fashion designer ","8","6","2","30-60 min","3","Moderate","4","High (positive, supportive)","Yes","Personal disappointment","Dissatisfied","5","Often","Slightly stressed"
"2025/10/31 12:40:13 AM GMT+2","I agree","18-24","Female","Student","Translation ","11","5 ","2-3","< 30 min","4","Moderate","3","High (positive, supportive)","Yes","Academic/work failure or poor performance;Personal disappointment;Health-related stress","Satisfied","8","Often","Highly stressed"
"2025/10/31 12:43:02 AM GMT+2","I agree","18-24","Male","Student","Mechanical engineering ","6","8","4","> 2 hours","3","Moderate","9","Medium (neutral)","Yes","Personal disappointment","Satisfied","7","Often","Slightly stressed"
"2025/10/31 12:48:06 AM GMT+2","I agree","18-24","Female","Student","Cs","4","7","0","1 hour","2","Moderate","2","Low (negative, draining)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Personal disappointment;Financial stress;Health-related stress","Satisfied","9","Often","Highly stressed"
"2025/10/31 12:49:41 AM GMT+2","I agree","18-24","Female","Student","computer science ","6 hours","5 hours","4 hours","< 30 min","3","Hard","4 hours","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","7","Often","Slightly stressed"
"2025/10/31 1:10:39 AM GMT+2","I agree","18-24","Male","Student","Finance ","5","3","4","30-60 min","3","Hard","2","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Health-related stress","Dissatisfied","7","Almost always","Slightly stressed"
"2025/10/31 3:45:35 AM GMT+2","I agree","18-24","Female","Both","Computer Engineering ","6","9","1","< 30 min","1","Moderate;Hard","2","Medium (neutral)","Yes","Health-related stress","Satisfied","7","Almost always","Highly stressed"
"2025/10/31 4:18:36 AM GMT+2","I agree","18-24","Female","Student","","6","6","6","1 hour","3","Moderate","4","Medium (neutral)","No","Academic/work failure or poor performance","Satisfied","5","Rarely","Slightly stressed"
"2025/10/31 4:56:21 AM GMT+2","I agree","18-24","Female","Student","Computer science ","9","2~3","3~4","< 30 min","1 ","Hard","3","Medium (neutral)","No","","Satisfied","3","Almost always","Slightly stressed"
"2025/10/31 7:12:19 AM GMT+2","I agree","18-24","Female","Student","Architecture ","3","20","1","< 30 min","3","Hard","1","Medium (neutral)","Yes","Health-related stress","Dissatisfied","9","Almost always","Slightly stressed"
"2025/10/31 8:56:37 AM GMT+2","I agree","18-24","Female","Student","Computer science and information technology ","5","15","0","< 30 min","4","Hard","0","Low (negative, draining)","No","","Dissatisfied","9","Almost always","Highly stressed"
"2025/10/31 9:41:48 AM GMT+2","I agree","18-24","Female","Both","Business ","8","1","2","< 30 min","6","Moderate","5","High (positive, supportive)","Yes","Transportation problem / car issue","Satisfied","2","Almost always","Slightly stressed"
"2025/10/31 9:44:23 AM GMT+2","I agree","18-24","Female","Student","Engineering ","10","8","4","< 30 min","2","Moderate","None","Low (negative, draining)","No","","Dissatisfied","6","Almost always","Not stressed"
"2025/10/31 9:47:24 AM GMT+2","I agree","18-24","Female","Student","Biotechnology ","9","2","0","1 hour","1","Moderate","2","Medium (neutral)","No","","Satisfied","1","Often","Not stressed"
"2025/10/31 9:48:05 AM GMT+2","I agree","18-24","Female","Student","Artificial intelligence ","5","4","1","< 30 min","5","Moderate","3","Low (negative, draining)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Personal disappointment","Satisfied","8","Often","Highly stressed"
"2025/10/31 10:06:50 AM GMT+2","I agree","18-24","Female","Student","Computer Science ","10","None","7","< 30 min","3","Moderate","1","Medium (neutral)","Yes","Personal disappointment;Financial stress","Dissatisfied","3","Almost always","Slightly stressed"
"2025/10/31 10:23:57 AM GMT+2","I agree","18-24","Female","Student","Mechanical engineering ","8","9","0.5","< 30 min","Alot","Hard","1","High (positive, supportive)","No","","Satisfied","6","Almost always","Slightly stressed"
"2025/10/31 10:26:43 AM GMT+2","I agree","18-24","Female","Student","BBA ","5 hrs and half ","مش بعد عدد الساعات ، لان مذاكرتي متقطعة ، ولكن لو جمعناهم ممكن يطلعو ٣ ساعات average ","2 hrs","> 2 hours","2 ","Moderate","Today is Friday which there's no interaction , but in other days , 30 mins to 1 h ","Medium (neutral)","No","","Dissatisfied","3","Almost always","Highly stressed"
"2025/10/31 10:48:04 AM GMT+2","I agree","18-24","Female","Student","Business,  marketing ","8","13","3","30-60 min","7","Moderate;Hard","5","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Health-related stress","Satisfied","7","Almost always","Highly stressed"
"2025/10/31 11:00:41 AM GMT+2","I agree","18-24","Female","Student","Computer Science ","10","1","2","< 30 min","4","Moderate","5","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Personal disappointment","Satisfied","7","Almost always","Slightly stressed"
"2025/10/31 11:06:09 AM GMT+2","I agree","18-24","Female","Student","Engineering ","11","9","0 ","30-60 min","10","Moderate","5","High (positive, supportive)","No","","Dissatisfied","4","Almost always","Slightly stressed"
"2025/10/31 11:17:04 AM GMT+2","I agree","25-35","Female","Employee","Multilaterals","8","8","0","< 30 min","3","Easy","5","Medium (neutral)","No","","Satisfied","4","Often","Slightly stressed"
"2025/10/31 11:55:26 AM GMT+2","I agree","18-24","Female","Student","Applied Biotechnology","8 hrs","Usually around 7-9 hrs in weekends, and 5 in weekdays","Usually 2 to 4 hours of freetime","< 30 min","3","Moderate","4","High (positive, supportive)","No","","Satisfied","3","Often","Highly stressed"
"2025/10/31 11:56:46 AM GMT+2","I agree","18-24","Female","Student","collage ","8","2","30min","< 30 min","3","Hard","5","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","7","Often","Highly stressed"
"2025/10/31 12:56:39 PM GMT+2","I agree","18-24","Female","Student","Major: Biotechnology ","7","4","2","> 2 hours","5","Moderate","2","Medium (neutral)","No","","Satisfied","5","Often","Slightly stressed"
"2025/10/31 1:28:17 PM GMT+2","I agree","25-35","Female","Neither","Art","8","0","1","1 hour","2","Moderate","10","Medium (neutral)","Yes","Arguing/conflict with someone;Personal disappointment;Health-related stress","Satisfied","6","Almost always","Highly stressed"
"2025/10/31 1:50:31 PM GMT+2","I agree","18-24","Female","Student","dentist","7hrs","2hrs","2hrs","< 30 min","3","Moderate","1hr","Medium (neutral)","No","","Satisfied","1","Rarely","Not stressed"
"2025/10/31 2:13:33 PM GMT+2","I agree","18-24","Female","Neither","Computer Science","9 hours","I have graduated and I am now looking for a job.","1 ","30-60 min","2","Moderate","2","Medium (neutral)","Yes","Health-related stress","Satisfied","4","Often","Slightly stressed"
"2025/10/31 3:01:53 PM GMT+2","I agree","18-24","Female","Student","Business ","8","1","2","1 hour","3","Moderate","2","Medium (neutral)","No","","Satisfied","6","Often","Slightly stressed"
"2025/10/31 4:32:44 PM GMT+2","I agree","18-24","Male","Student","Ai","8","2","3","< 30 min","1","Moderate","3","Medium (neutral)","Yes","Arguing/conflict with someone;Financial stress","Satisfied","5","Rarely","Not stressed"
"2025/10/31 5:54:06 PM GMT+2","I agree","18-24","Male","Student","Computer Science","8","5","3","> 2 hours","3","Moderate","4","High (positive, supportive)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Satisfied","4","Often","Slightly stressed"
"2025/10/31 6:06:08 PM GMT+2","I agree","18-24","Male","Student","Business","10","3","2","30-60 min","2","Moderate","5","High (positive, supportive)","Yes","Arguing/conflict with someone;Financial stress","Satisfied","5","Rarely","Not stressed"
"2025/10/31 6:07:58 PM GMT+2","I agree","18-24","Male","Both","Pentester/Ai Engineer","7","6","0","< 30 min","8","Hard","7","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Satisfied","9","Almost always","Highly stressed"
"2025/10/31 6:08:41 PM GMT+2","I agree","18-24","Female","Student","Computer science ","8","2","2","< 30 min","2","Easy","3","High (positive, supportive)","No","","Satisfied","1","Rarely","Not stressed"
"2025/10/31 6:11:30 PM GMT+2","I agree","36+","Male","Employee","Engineering ","8","4","1","1 hour","2","Moderate","8","High (positive, supportive)","No","Personal disappointment","Satisfied","4","Often","Slightly stressed"
"2025/10/31 6:11:35 PM GMT+2","I agree","18-24","Female","Both","AI ","8","6","1","< 30 min","5","Hard","7","Low (negative, draining)","Yes","Arguing/conflict with someone","Dissatisfied","9","Almost always","Highly stressed"
"2025/10/31 6:13:55 PM GMT+2","I agree","25-35","Male","Employee","Medicine ","7","6","3","30-60 min","2","Moderate","5","Medium (neutral)","Yes","Health-related stress","Satisfied","4","Often","Slightly stressed"
"2025/10/31 6:19:35 PM GMT+2","I agree","18-24","Male","Employee","Engineering","8","1","4","< 30 min","1","Easy","9","High (positive, supportive)","No","","Satisfied","1","Rarely","Not stressed"
"2025/10/31 6:37:23 PM GMT+2","I agree","36+","Male","Employee","Professor","5","0","2","< 30 min","2","Moderate","2","Medium (neutral)","Yes","Arguing/conflict with someone","Dissatisfied","7","Almost always","Highly stressed"
"2025/10/31 6:41:43 PM GMT+2","I agree","<18","Male","Student","Student","9","7","2","30-60 min","3","Easy","9","High (positive, supportive)","No","","Satisfied","2","Often","Not stressed"
"2025/10/31 7:11:34 PM GMT+2","I agree","18-24","Female","Student","Computer science ","5","4","1","1 hour","4","Moderate","2","Low (negative, draining)","Yes","Academic/work failure or poor performance;Personal disappointment;Financial stress","Satisfied","8","Almost always","Slightly stressed"
"2025/10/31 7:32:07 PM GMT+2","I agree","25-35","Male","Employee","Lawyer","5","8","2","> 2 hours","4","Moderate","6","Low (negative, draining)","Yes","Academic/work failure or poor performance","Satisfied","7","Almost always","Highly stressed"
"2025/10/31 7:38:08 PM GMT+2","I agree","18-24","Male","Both","Engineer","7","5","3","< 30 min","3","Easy","4","High (positive, supportive)","No","","Satisfied","2","Rarely","Not stressed"
"2025/10/31 7:48:39 PM GMT+2","I agree","18-24","Male","Student","Computer science","8","4","5","30-60 min","7","Moderate","5","Medium (neutral)","Yes","Personal disappointment;Health-related stress","Satisfied","7","Rarely","Slightly stressed"
"2025/10/31 7:49:40 PM GMT+2","I agree","<18","Female","Student","Architecture","6","4","30 minutes ","< 30 min","4","Hard","3","Medium (neutral)","Yes","Academic/work failure or poor performance;Personal disappointment","Satisfied","7","Often","Slightly stressed"
"2025/10/31 7:54:12 PM GMT+2","I agree","18-24","Male","Student","Artificial intelligence ","4","5","3","30-60 min","4","Moderate","2-3","Medium (neutral)","No","","Satisfied","3","Often","Slightly stressed"
"2025/10/31 7:56:27 PM GMT+2","I agree","18-24","Female","Student","Supply chain ","8 hours","1 hour ","2 hours ","> 2 hours","1 task","Moderate","All day long ","High (positive, supportive)","Yes","Academic/work failure or poor performance;Transportation problem / car issue;Financial stress","Satisfied","2","Rarely","Slightly stressed"
"2025/10/31 8:08:59 PM GMT+2","I agree","18-24","Female","Student","Computer Science","8","5","3","30-60 min","5","Easy;Moderate;Hard","4","High (positive, supportive)","Yes","Academic/work failure or poor performance","Satisfied","6","Often","Slightly stressed"
"2025/10/31 8:12:11 PM GMT+2","I agree","18-24","Male","Student","Engineering","9","2","4","< 30 min","2","Moderate","5","High (positive, supportive)","No","","Satisfied","6","Often","Slightly stressed"
"2025/10/31 8:17:56 PM GMT+2","I agree","18-24","Male","Student","2","5","2","0.5","< 30 min","3","Easy;Moderate","2","Medium (neutral)","No","","Satisfied","2","Rarely","Not stressed"
"2025/10/31 8:18:45 PM GMT+2","I agree","36+","Male","Employee","Telecom","8","8","5","1 hour","3","Moderate","4","Medium (neutral)","No","","Satisfied","3","Often","Slightly stressed"
"2025/10/31 8:22:39 PM GMT+2","I agree","18-24","Female","Student","Languages and translation","10","≈5 hours","2","1 hour","3","Moderate","3","Medium (neutral)","Yes","Personal disappointment;Health-related stress","Satisfied","7","Almost always","Slightly stressed"
"2025/10/31 8:22:47 PM GMT+2","I agree","18-24","Male","Student","Computer Science ","9","5","1","30-60 min","3","Moderate;Hard","2 to 3","Medium (neutral)","Yes","Arguing/conflict with someone;Bad weather","Satisfied","1","Often","Slightly stressed"
"2025/10/31 8:32:20 PM GMT+2","I agree","18-24","Male","Student","Ai","6","4","4 ","1 hour","5","Moderate","2","Medium (neutral)","Yes","Arguing/conflict with someone;Personal disappointment;Financial stress","Satisfied","7","Often","Slightly stressed"